sumo_type,sumo_id,matsim_type,matsim_id,mapping_method
junction,1308615770,node,1308615770,Exact ID
junction,1309257443,node,301902758,Spatial Nearest
junction,1312651109,node,1312651109,Exact ID
junction,1312651112,node,1312651112,Exact ID
junction,1315009239,node,1315009239,Exact ID
junction,1315015321,node,21487274,Spatial Nearest
junction,1315015330,node,1315015330,Exact ID
junction,1315015332,node,1315015332,Exact ID
junction,1320334940,node,1320334940,Exact ID
junction,1321352941,node,1321352941,Exact ID
junction,1321352951,node,1321352951,Exact ID
junction,1322375689,node,1322375689,Exact ID
junction,1322375692,node,1322375692,Exact ID
junction,1323280297,node,1323280297,Exact ID
junction,1326065952,node,1326065952,Exact ID
junction,1326065960,node,1326065960,Exact ID
junction,1326600568,node,1326600568,Exact ID
junction,1326600577,node,1326600577,Exact ID
junction,1327205922,node,251614903,Spatial Nearest
junction,1329831525,node,26162610,Spatial Nearest
junction,1329913468,node,1329913468,Exact ID
junction,1330083132,node,1330083132,Exact ID
junction,1330083134,node,1330083134,Exact ID
junction,1330439378,node,1330439378,Exact ID
junction,1330697418,node,1330697418,Exact ID
junction,133114245,node,133114245,Exact ID
junction,133114251,node,133114251,Exact ID
junction,133114255,node,133114255,Exact ID
junction,133114259,node,133114259,Exact ID
junction,133114270,node,133114270,Exact ID
junction,133114300,node,133114300,Exact ID
junction,133114305,node,133114305,Exact ID
junction,133114310,node,133114310,Exact ID
junction,1331388785,node,1331388785,Exact ID
junction,1331644469,node,1331644469,Exact ID
junction,1331710734,node,1331710734,Exact ID
junction,1331715270,node,1331715270,Exact ID
junction,133250944,node,26784546,Spatial Nearest
junction,133250946,node,26784543,Spatial Nearest
junction,1332594826,node,1332594826,Exact ID
junction,133262470,node,133262470,Exact ID
junction,133290700,node,133290700,Exact ID
junction,133290719,node,133290719,Exact ID
junction,1336956532,node,1336956532,Exact ID
junction,1337990181,node,1337990181,Exact ID
junction,1338463911,node,1338463911,Exact ID
junction,1339072148,node,279595255,Spatial Nearest
junction,1339278480,node,1339278480,Exact ID
junction,1339675814,node,1339675814,Exact ID
junction,1341494678,node,745930348,Spatial Nearest
junction,1341494688,node,1341494688,Exact ID
junction,1341494692,node,1341494692,Exact ID
junction,1341494702,node,2038737390,Spatial Nearest
junction,1342562320,node,1342562320,Exact ID
junction,1342604749,node,1342604749,Exact ID
junction,1343862048,node,1343862048,Exact ID
junction,134560312,node,29916134,Spatial Nearest
junction,134580595,node,134580595,Exact ID
junction,134580604,node,134580604,Exact ID
junction,134580606,node,134580606,Exact ID
junction,134581361,node,134581361,Exact ID
junction,134587379,node,134587379,Exact ID
junction,134587380,node,134587380,Exact ID
junction,134591106,node,134591106,Exact ID
junction,134600409,node,29916137,Spatial Nearest
junction,134605797,node,134605797,Exact ID
junction,134605801,node,134605801,Exact ID
junction,134612308,node,134612308,Exact ID
junction,134612310,node,134612310,Exact ID
junction,134613770,node,134613770,Exact ID
junction,134613772,node,134613772,Exact ID
junction,134613774,node,134613774,Exact ID
junction,134615470,node,134615470,Exact ID
junction,134615471,node,134615471,Exact ID
junction,134615473,node,134615473,Exact ID
junction,134615479,node,134615479,Exact ID
junction,134618268,node,134618268,Exact ID
junction,134618273,node,134618273,Exact ID
junction,134618278,node,134618278,Exact ID
junction,134618281,node,134618281,Exact ID
junction,134639615,node,134639615,Exact ID
junction,134642807,node,134642807,Exact ID
junction,134642813,node,134642813,Exact ID
junction,134645275,node,134645275,Exact ID
junction,134645280,node,134645280,Exact ID
junction,134647993,node,134647993,Exact ID
junction,134650586,node,134650587,Spatial Nearest
junction,134684859,node,134684859,Exact ID
junction,134684860,node,134684860,Exact ID
junction,134686918,node,134686918,Exact ID
junction,134690727,node,134690727,Exact ID
junction,134690728,node,134690728,Exact ID
junction,134691195,node,134691195,Exact ID
junction,134691197,node,134691197,Exact ID
junction,134691633,node,134691633,Exact ID
junction,134691634,node,134691634,Exact ID
junction,134693515,node,134693515,Exact ID
junction,134693517,node,134693517,Exact ID
junction,134700535,node,134700535,Exact ID
junction,134747117,node,97630497,Spatial Nearest
junction,134764237,node,134764237,Exact ID
junction,134788545,node,134788545,Exact ID
junction,134843294,node,134843294,Exact ID
junction,134847271,node,134847271,Exact ID
junction,134854322,node,134854322,Exact ID
junction,1348731995,node,1348731995,Exact ID
junction,1349735966,node,1349735966,Exact ID
junction,1350054144,node,32349284,Spatial Nearest
junction,135038118,node,135038118,Exact ID
junction,135338356,node,135338356,Exact ID
junction,135345421,node,135345421,Exact ID
junction,135352910,node,88087656,Spatial Nearest
junction,1354046751,node,1354046751,Exact ID
junction,1354122199,node,1354122199,Exact ID
junction,1354122206,node,1354122206,Exact ID
junction,1354122207,node,1354122207,Exact ID
junction,135530593,node,135530593,Exact ID
junction,135530622,node,28206084,Spatial Nearest
junction,135530647,node,428699463,Spatial Nearest
junction,135530656,node,95056459,Spatial Nearest
junction,135530666,node,28206056,Spatial Nearest
junction,135530695,node,428699464,Spatial Nearest
junction,1356086674,node,4078680836,Spatial Nearest
junction,1356241844,node,1356241844,Exact ID
junction,1356471538,node,1356471538,Exact ID
junction,1356695880,node,1356695880,Exact ID
junction,1358201001,node,1358201001,Exact ID
junction,1358376279,node,1358376279,Exact ID
